dataset,sample_id,timepoint_index,timepoint_label,region_id,region_label,region_scheme,bridge_version,bridge_model_name,bridge_model_ckpt,bridge_n_spots_used,bridge_epi_like_mean,bridge_epi_like_std,bridge_epi_like_pos_frac,bridge_fibroblast_mean,bridge_fibroblast_std,bridge_fibroblast_pos_frac,bridge_smooth_myoepi_mean,bridge_smooth_myoepi_std,bridge_smooth_myoepi_pos_frac,bridge_ECM_mean,bridge_ECM_std
Breast,Datasets_Visium_DH_FF_tissue_hires_image,0,Baseline,Q1_UL,upper_left,xy_midpoint_quadrants,core4_from_easy_v1_v1_regions4,resnet18_core4_from_easy_v1,output/output_crc_fixed_dataset_core4_from_easy_v1/wsi_to_z_best.pt,886,0.4461491927636715,0.1307672731622347,0.3645598194130925,0.0582238366883582,0.031050342734997,0.0,0.0164482362057121,0.0219197739814865,0.0,0.2933257841936083,0.2775288548596051
Breast,Datasets_Visium_DH_FF_tissue_hires_image,0,Baseline,Q2_UR,upper_right,xy_midpoint_quadrants,core4_from_easy_v1_v1_regions4,resnet18_core4_from_easy_v1,output/output_crc_fixed_dataset_core4_from_easy_v1/wsi_to_z_best.pt,816,0.5334436913853403,0.1349987367405233,0.6115196078431373,0.0524832472191737,0.0285081134343321,0.0,0.0148791038024875,0.0172503932863462,0.0,0.3040846191693608,0.2959406628307584
Breast,Datasets_Visium_DH_FF_tissue_hires_image,0,Baseline,Q3_LL,lower_left,xy_midpoint_quadrants,core4_from_easy_v1_v1_regions4,resnet18_core4_from_easy_v1,output/output_crc_fixed_dataset_core4_from_easy_v1/wsi_to_z_best.pt,1091,0.4020089864617189,0.15014872189541,0.2841429880843263,0.0589436174292338,0.0405177537161856,0.0,0.0198358260095934,0.0164676383368819,0.0,0.444644592504344,0.3077373041857787
Breast,Datasets_Visium_DH_FF_tissue_hires_image,0,Baseline,Q4_LR,lower_right,xy_midpoint_quadrants,core4_from_easy_v1_v1_regions4,resnet18_core4_from_easy_v1,output/output_crc_fixed_dataset_core4_from_easy_v1/wsi_to_z_best.pt,1207,0.3583739421278559,0.1603347468356967,0.1897265948632974,0.0610911116110072,0.0378908148997929,0.0,0.0253624492067609,0.018724342490263,0.0,0.3987052469809833,0.2626012789215483
