dataset,sample_id,timepoint_index,timepoint_label,region_id,region_label,region_scheme,bridge_version,bridge_model_name,bridge_model_ckpt,bridge_n_spots_used,bridge_epi_like_mean,bridge_epi_like_std,bridge_epi_like_pos_frac,bridge_fibroblast_mean,bridge_fibroblast_std,bridge_fibroblast_pos_frac,bridge_smooth_myoepi_mean,bridge_smooth_myoepi_std,bridge_smooth_myoepi_pos_frac,bridge_ECM_mean,bridge_ECM_std,bridge_dataset,bridge_epi_like_mean_z,bridge_fibroblast_mean_z,bridge_smooth_myoepi_mean_z,bridge_ECM_mean_z
CRC,Datasets_Visium_DH_FF_tissue_hires_image,0,Baseline,Q1_UL,upper_left,xy_midpoint_quadrants,core4_from_easy_v1_v1_regions4,resnet18_core4_from_easy_v1,output/output_crc_fixed_dataset_core4_from_easy_v1/wsi_to_z_best.pt,876,0.4405400996614269,0.1353489709038184,0.3367579908675799,0.0583492034979089,0.0295045653756629,0.0,0.016962909268551,0.0222932538525187,0.0,0.2955215535590161,0.3022569130678717,CRC,0.07812489543962593,0.31811984890100503,-0.5849790379641434,-1.076845603251678
CRC,Datasets_Visium_DH_FF_tissue_hires_image,0,Baseline,Q2_UR,upper_right,xy_midpoint_quadrants,core4_from_easy_v1_v1_regions4,resnet18_core4_from_easy_v1,output/output_crc_fixed_dataset_core4_from_easy_v1/wsi_to_z_best.pt,800,0.5334437660001916,0.1307547911696104,0.61,0.0515358415392697,0.0280011408879564,0.0,0.0146673201611851,0.0161029574545681,0.0,0.3141634503798559,0.2978678840361342,CRC,1.5331938842502946,-1.7920504188778599,-1.179831699176663,-0.7610778876547204
CRC,Datasets_Visium_DH_FF_tissue_hires_image,0,Baseline,Q3_LL,lower_left,xy_midpoint_quadrants,core4_from_easy_v1_v1_regions4,resnet18_core4_from_easy_v1,output/output_crc_fixed_dataset_core4_from_easy_v1/wsi_to_z_best.pt,1130,0.4093472084171972,0.1558640428839482,0.3132743362831858,0.0578927706976028,0.0378317938079454,0.0,0.0215791233918304,0.0189950083435192,0.0,0.4201530105046994,0.3064576212184247,CRC,-0.41042211792925404,0.17675778267117226,0.611213802970906,1.0342373423026863
CRC,Datasets_Visium_DH_FF_tissue_hires_image,0,Baseline,Q4_LR,lower_right,xy_midpoint_quadrants,core4_from_easy_v1_v1_regions4,resnet18_core4_from_easy_v1,output/output_crc_fixed_dataset_core4_from_easy_v1/wsi_to_z_best.pt,1194,0.361108782816216,0.1585464154493283,0.1892797319932998,0.0600567830508771,0.0378627712731969,0.0,0.0240281934680178,0.0173917827443995,0.0,0.4021618104160731,0.2583938428929627,CRC,-1.1659384492772125,0.846975298591555,1.2458377640454064,0.7294915212399672
Breast,Datasets_Visium_DH_FF_tissue_hires_image,0,Baseline,Q1_UL,upper_left,xy_midpoint_quadrants,core4_from_easy_v1_v1_regions4,resnet18_core4_from_easy_v1,output/output_crc_fixed_dataset_core4_from_easy_v1/wsi_to_z_best.pt,886,0.4461491927636715,0.1307672731622347,0.3645598194130925,0.0582238366883582,0.031050342734997,0.0,0.0164482362057121,0.0219197739814865,0.0,0.2933257841936083,0.2775288548596051,Breast,0.16597522202057452,0.27929242190004516,-0.7183455189697172,-1.1140388718957523
Breast,Datasets_Visium_DH_FF_tissue_hires_image,0,Baseline,Q2_UR,upper_right,xy_midpoint_quadrants,core4_from_easy_v1_v1_regions4,resnet18_core4_from_easy_v1,output/output_crc_fixed_dataset_core4_from_easy_v1/wsi_to_z_best.pt,816,0.5334436913853403,0.1349987367405233,0.6115196078431373,0.0524832472191737,0.0285081134343321,0.0,0.0148791038024875,0.0172503932863462,0.0,0.3040846191693608,0.2959406628307584,Breast,1.5331927156230432,-1.4986288585095144,-1.124952512729151,-0.9317992223886169
Breast,Datasets_Visium_DH_FF_tissue_hires_image,0,Baseline,Q3_LL,lower_left,xy_midpoint_quadrants,core4_from_easy_v1_v1_regions4,resnet18_core4_from_easy_v1,output/output_crc_fixed_dataset_core4_from_easy_v1/wsi_to_z_best.pt,1091,0.4020089864617189,0.15014872189541,0.2841429880843263,0.0589436174292338,0.0405177537161856,0.0,0.0198358260095934,0.0164676383368819,0.0,0.444644592504344,0.3077373041857787,Breast,-0.5253542796104849,0.5022161309200324,0.15947569192087488,1.4490905610340494
Breast,Datasets_Visium_DH_FF_tissue_hires_image,0,Baseline,Q4_LR,lower_right,xy_midpoint_quadrants,core4_from_easy_v1_v1_regions4,resnet18_core4_from_easy_v1,output/output_crc_fixed_dataset_core4_from_easy_v1/wsi_to_z_best.pt,1207,0.3583739421278559,0.1603347468356967,0.1897265948632974,0.0610911116110072,0.0378908148997929,0.0,0.0253624492067609,0.018724342490263,0.0,0.3987052469809833,0.2626012789215483,Breast,-1.208771870516585,1.1673177944035622,1.5915815099024913,0.6709421606140618
